,Date,MinTemp,MaxTemp,Rainfall
431,2009-01-05,15.891111111111107,31.068888888888885,0.6222222222222222
432,2009-01-06,17.224999999999998,31.864444444444448,0.3377777777777778
433,2009-01-07,17.797777777777778,30.34444444444445,0.08444444444444445
434,2009-01-08,16.917777777777776,25.922222222222214,0.11363636363636363
435,2009-01-09,14.975555555555555,25.8,0.4888888888888889
436,2009-01-10,14.79318181818182,27.502222222222215,3.151111111111111
437,2009-01-11,15.12666666666667,29.082222222222224,1.3955555555555554
438,2009-01-12,16.1,28.66666666666666,7.026666666666666
439,2009-01-13,16.51777777777778,31.82444444444445,7.213333333333333
440,2009-01-14,18.051111111111116,32.55333333333333,1.2133333333333332
441,2009-01-15,17.727272727272727,31.664444444444456,2.071111111111111
442,2009-01-16,16.73863636363637,28.962222222222216,2.191111111111111
443,2009-01-17,15.168888888888889,25.908888888888885,0.6355555555555555
444,2009-01-18,14.293333333333331,27.75111111111111,0.591111111111111
445,2009-01-19,15.171111111111108,30.42,3.08
446,2009-01-20,17.186666666666667,32.928888888888885,1.8488888888888886
447,2009-01-21,17.83777777777777,31.15333333333333,3.64
448,2009-01-22,19.508888888888894,30.30444444444445,2.2266666666666666
449,2009-01-23,17.90222222222222,30.235555555555557,7.142222222222221
450,2009-01-24,18.43555555555556,30.580000000000002,3.0666666666666655
451,2009-01-25,16.37555555555556,29.297727272727276,1.2933333333333332
452,2009-01-26,17.52727272727272,30.011111111111113,3.382222222222222
453,2009-01-27,18.26136363636364,31.67555555555556,1.8400000000000003
454,2009-01-28,19.811111111111114,33.65333333333332,1.3777777777777778
455,2009-01-29,21.204444444444448,33.96666666666667,1.9911111111111113
456,2009-01-30,20.375555555555554,34.26136363636365,2.3355555555555556
457,2009-01-31,20.785714285714285,33.544444444444444,3.1500000000000004
458,2009-02-01,20.753333333333334,32.39333333333333,2.115555555555556
459,2009-02-02,20.786666666666665,31.922222222222214,1.9644444444444442
460,2009-02-03,19.87333333333334,31.104444444444436,5.786666666666667
461,2009-02-04,19.344444444444438,31.271111111111118,3.35
462,2009-02-05,19.504545454545454,33.06744186046512,1.6954545454545453
463,2009-02-06,19.54523809523809,32.90888888888889,1.7772727272727273
464,2009-02-07,19.806666666666665,35.15555555555555,5.386666666666668
465,2009-02-08,18.959090909090914,30.224444444444437,5.337777777777777
466,2009-02-09,17.082222222222228,26.446666666666665,2.44
467,2009-02-10,16.235555555555557,25.137777777777774,2.2444444444444445
468,2009-02-11,15.673333333333332,25.31111111111111,2.226666666666667
469,2009-02-12,15.62222222222222,25.241860465116275,3.884444444444444
470,2009-02-13,15.084090909090907,24.335555555555548,6.671111111111111
471,2009-02-14,15.19772727272727,25.1111111111111,9.15111111111111
472,2009-02-15,16.035555555555558,26.722222222222218,13.822222222222225
473,2009-02-16,16.842222222222222,26.753333333333334,6.9466666666666645
474,2009-02-17,16.442222222222227,26.931111111111115,9.719999999999999
475,2009-02-18,17.035555555555558,28.193333333333324,6.524444444444445
476,2009-02-19,16.660000000000007,30.046666666666663,0.15111111111111114
477,2009-02-20,17.831111111111106,28.595555555555556,0.6266666666666666
478,2009-02-21,17.755555555555556,28.175555555555558,1.8755555555555554
479,2009-02-22,16.944444444444446,27.722222222222218,3.466666666666667
480,2009-02-23,16.486666666666665,30.462222222222216,2.0533333333333332
481,2009-02-24,16.19555555555555,27.544444444444444,2.328888888888889
482,2009-02-25,16.164444444444452,27.055555555555557,1.2222222222222223
483,2009-02-26,16.31590909090909,27.908888888888892,2.2799999999999994
